borrower_id,month,income,expenses,mfi_repayment_due,mfi_repayment_paid
B01,1,25000,12000,3000,3000
B01,2,26000,12200,3000,3000
B01,3,15000,11800,3000,3000
B01,4,24000,12000,3000,3000
B01,5,25500,12300,3000,3000
B01,6,26500,12000,3000,3000
B01,7,25000,12100,3000,3000
B01,8,24500,12000,3000,3000
B01,9,15500,11900,3000,3000
B01,10,25000,12000,3000,3000
B01,11,26000,12100,3000,3000
B01,12,27000,12200,3000,3000
B02,1,20000,13000,3500,3500
B02,2,20200,13100,3500,3500
B02,3,19800,12900,3500,3500
B02,4,20100,13000,3500,3500
B02,5,20300,13200,3500,3500
B02,6,19900,13000,3500,3500
B02,7,20000,13000,3500,3500
B02,8,20200,13100,3500,3500
B02,9,19800,12900,3500,3500
B02,10,20100,13000,3500,3500
B02,11,20000,13000,3500,3500
B02,12,20200,13100,3500,3500
B03,1,28000,14000,3200,3200
B03,2,28200,14100,3200,3200
B03,3,27800,13900,3200,3200
B03,4,28100,14000,3200,3200
B03,5,28300,14200,3200,3200
B03,6,27900,14000,3200,3200
B03,7,28000,14000,3200,3200
B03,8,28200,14100,3200,3200
B03,9,27800,13900,3200,3200
B03,10,28100,14000,3200,3200
B03,11,28000,14000,3200,3200
B03,12,28200,14100,3200,3200
B04,1,22000,12000,2800,2800
B04,2,22100,12050,2800,2800
B04,3,21900,11950,2800,2800
B04,4,22000,12000,2800,2800
B04,5,22200,12100,2800,2800
B04,6,21900,11950,2800,2800
B04,7,22000,12000,2800,2800
B04,8,22100,12050,2800,2800
B04,9,21900,11950,2800,2800
B04,10,22000,12000,2800,2800
B04,11,22000,12000,2800,2800
B04,12,22100,12050,2800,2800
B05,1,30000,15000,3000,3000
B05,2,29000,15000,3000,3000
B05,3,27500,14800,3000,3000
B05,4,26000,15000,3000,3000
B05,5,24000,15200,3000,3000
B05,6,22000,15000,3000,3000
B05,7,20000,15000,3000,3000
B05,8,18500,14900,3000,2500
B05,9,17000,15000,3000,2000
B05,10,16000,15100,3000,1500
B05,11,15000,15000,3000,1000
B05,12,14000,15000,3000,1000
B06,1,25000,14000,3000,3000
B06,2,25200,14100,3000,3000
B06,3,24800,13900,3000,3000
B06,4,25100,14000,3000,3000
B06,5,25300,14200,3000,3000
B06,6,24900,14000,3000,3000
B06,7,25000,14000,3000,3000
B06,8,25200,14100,3000,3000
B06,9,24800,13900,3000,3000
B06,10,25100,14000,3000,3000
B06,11,25000,14000,3000,3000
B06,12,25200,14100,3000,3000
B07,1,23000,12000,2500,2500
B07,2,23100,12100,2500,2500
B07,3,22900,11900,2500,2500
B07,4,23000,12000,2500,2500
B07,5,23200,12200,2500,2500
B07,6,22800,11800,2500,2500
B07,7,23000,12000,2500,2500
B07,8,23100,12100,2500,2500
B07,9,22900,11900,2500,2500
B07,10,23000,12000,2500,2500
B07,11,23000,12000,2500,2500
B07,12,23100,12100,2500,2500
B08,1,36987,19556,3800,3800
B08,2,36362,19028,3800,3800
B08,3,36010,19521,3800,3800
B08,4,38295,20625,3800,3800
B08,5,37317,19387,3800,3800
B08,6,37275,19677,3800,3800
B08,7,34915,18270,3800,3800
B08,8,34947,18217,3800,3800
B08,9,35268,19000,3800,3800
B08,10,36451,18870,3800,3800
B08,11,36081,18997,3800,3800
B08,12,36441,19163,3800,3800
B09,1,21090,10443,2000,2000
B09,2,21721,10961,2000,2000
B09,3,21498,10869,2000,2000
B09,4,22075,11148,2000,2000
B09,5,21716,10569,2000,2000
B09,6,22090,11124,2000,2000
B09,7,21046,10534,2000,2000
B09,8,21516,10583,2000,2000
B09,9,18140,9041,2000,2000
B09,10,21526,10604,2000,2000
B09,11,21949,11244,2000,2000
B09,12,21844,11035,2000,2000
B10,1,18307,9777,2200,2200
B10,2,19747,10407,2200,2200
B10,3,19277,10550,2200,2200
B10,4,19606,10193,2200,2200
B10,5,18870,10024,2200,2200
B10,6,19420,10478,2200,2200
B10,7,20137,10933,2200,2200
B10,8,19825,10316,2200,2200
B10,9,19084,9935,2200,2200
B10,10,19160,10292,2200,2200
B10,11,20252,10824,2200,2200
B10,12,19993,10551,2200,2200
B11,1,20548,10275,2000,2000
B11,2,21329,10529,2000,2000
B11,3,20355,10535,2000,2000
B11,4,21039,10870,2000,2000
B11,5,21131,10915,2000,2000
B11,6,22168,11236,2000,2000
B11,7,22072,11114,2000,2000
B11,8,20922,10296,2000,2000
B11,9,18430,9210,2000,2000
B11,10,20862,10818,2000,2000
B11,11,22375,11482,2000,2000
B11,12,22349,11085,2000,2000
B12,1,19312,10378,2000,2000
B12,2,20435,10693,2000,2000
B12,3,21111,10912,2000,2000
B12,4,19788,10113,2000,2000
B12,5,20609,10505,2000,2000
B12,6,20898,11003,2000,2000
B12,7,21724,11461,2000,2000
B12,8,21801,11103,2000,2000
B12,9,21608,11482,2000,2000
B12,10,21623,11048,2000,2000
B12,11,21809,11149,2000,2000
B12,12,21330,10879,2000,2000
B13,1,35289,19852,3900,3900
B13,2,34702,19621,3900,3900
B13,3,35770,20651,3900,3900
B13,4,35668,20104,3900,3900
B13,5,33020,18661,3900,3900
B13,6,32470,18663,3900,3900
B13,7,33606,19794,3900,3900
B13,8,28106,15779,3900,3900
B13,9,33374,19581,3900,3900
B13,10,34202,20124,3900,3900
B13,11,33795,18999,3900,3900
B13,12,34793,20226,3900,3900
B14,1,24000,12000,2500,2500
B14,2,24500,12000,2500,2500
B14,3,14000,12000,2500,2500
B14,4,23500,12000,2500,2500
B14,5,24200,12000,2500,2500
B14,6,24800,12000,2500,2500
B14,7,24000,12000,2500,2500
B14,8,24300,12000,2500,2500
B14,9,23800,12000,2500,2500
B14,10,22000,12000,2500,2500
B14,11,14000,12000,2500,2500
B14,12,12000,12000,2500,2500
B15,1,30777,15201,4100,4100
B15,2,29997,14224,4100,4100
B15,3,30714,14791,4100,4100
B15,4,32076,15200,4100,4100
B15,5,30444,14806,4100,4100
B15,6,31608,15781,4100,4100
B15,7,30860,15057,4100,4100
B15,8,27167,12879,4100,4100
B15,9,31979,15582,4100,4100
B15,10,32058,15942,4100,4100
B15,11,31061,14736,4100,4100
B15,12,31421,14906,4100,4100
B16,1,35717,19088,4600,4600
B16,2,36343,19945,4600,4600
B16,3,36179,19817,4600,4600
B16,4,37675,20174,4600,4600
B16,5,35158,19077,4600,4600
B16,6,37009,19740,4600,4600
B16,7,35375,19073,4600,4600
B16,8,30593,16535,4600,4600
B16,9,37003,20186,4600,4600
B16,10,35737,19619,4600,4600
B16,11,35843,19394,4600,4600
B16,12,37439,21095,4600,4600
B17,1,20450,9825,2100,2100
B17,2,20569,9761,2100,2100
B17,3,21345,10657,2100,2100
B17,4,21071,10018,2100,2100
B17,5,21690,10489,2100,2100
B17,6,21991,10804,2100,2100
B17,7,21365,10406,2100,2100
B17,8,18456,8748,2100,2100
B17,9,21718,10821,2100,2100
B17,10,22189,10892,2100,2100
B17,11,22957,10906,2100,2100
B17,12,23004,10853,2100,2100
B18,1,30127,17790,3800,3800
B18,2,30422,17062,3800,3800
B18,3,28420,16640,3800,3800
B18,4,28708,16406,3800,3800
B18,5,28403,16821,3800,3800
B18,6,30742,18069,3800,3800
B18,7,31252,18436,3800,3800
B18,8,29874,17568,3800,3800
B18,9,30741,17498,3800,3800
B18,10,29379,17253,3800,3800
B18,11,32104,18098,3800,3800
B18,12,32064,18924,3800,3800
B19,1,26160,13441,2900,2900
B19,2,27613,14529,2900,2900
B19,3,26941,13395,2900,2900
B19,4,26697,13730,2900,2900
B19,5,26174,13260,2900,2900
B19,6,28477,14812,2900,2900
B19,7,27291,13902,2900,2900
B19,8,27911,14687,2900,2900
B19,9,28572,14273,2900,2900
B19,10,29218,15299,2900,2900
B19,11,27723,13912,2900,2900
B19,12,26879,13369,2900,2900
B20,1,25000,13000,2600,2600
B20,2,25200,13000,2600,2600
B20,3,24800,13000,2600,2600
B20,4,25100,13000,2600,2600
B20,5,24900,13000,2600,2600
B20,6,25000,13000,2600,2600
B20,7,24000,13000,2600,2600
B20,8,23500,13000,2600,2600
B20,9,23000,13000,2600,2600
B20,10,21000,13000,2600,2600
B20,11,16000,13000,2600,2600
B20,12,14000,13000,2600,2600
B21,1,30427,16651,3700,3700
B21,2,29388,16324,3700,3700
B21,3,29495,15846,3700,3700
B21,4,27644,15115,3700,3700
B21,5,30235,16676,3700,3700
B21,6,28879,16072,3700,3700
B21,7,29389,16429,3700,3700
B21,8,28212,15593,3700,3700
B21,9,24363,13447,3700,3700
B21,10,28922,15744,3700,3700
B21,11,27676,15304,3700,3700
B21,12,29234,16581,3700,3700
B22,1,27131,14709,3600,3600
B22,2,27216,15435,3600,3600
B22,3,28662,16274,3600,3600
B22,4,26367,14384,3600,3600
B22,5,25885,14398,3600,3600
B22,6,28712,15730,3600,3600
B22,7,27358,15706,3600,3600
B22,8,24376,13634,3600,3600
B22,9,26536,14426,3600,3600
B22,10,27708,15248,3600,3600
B22,11,26577,15160,3600,3600
B22,12,26848,14962,3600,3600
B23,1,32016,16108,3300,3300
B23,2,33145,17239,3300,3300
B23,3,32263,15982,3300,3300
B23,4,33475,16654,3300,3300
B23,5,33019,16661,3300,3300
B23,6,32178,16010,3300,3300
