borrower_id,label,group_id,segment,occupation,location,monthly_income,loan_amount,monthly_installment,existing_loans,previous_loans,previous_late_payments,loan_purpose,attendance_rate,borrowing_frequency,baseline_delay_days,current_delay_days,current_attendance_rate,current_borrowing_frequency
B-001,Borrower 001,G01,retail,Street vendor,North Market,28500,90000,5200,1,2,0,Working capital,0.94,1,2,1,0.95,1
B-002,Borrower 002,G01,services,Tailor,North Market,32000,110000,6100,0,2,1,Equipment purchase,0.91,1,3,2,0.92,1
B-003,Borrower 003,G01,agriculture,Vegetable farmer,North Market,26500,75000,4300,1,1,0,Seasonal inputs,0.93,1,2,2,0.92,1
B-004,Borrower 004,G01,transport,Auto driver,North Market,30000,100000,5700,1,3,1,Vehicle repair,0.90,1,4,3,0.91,1
B-005,Borrower 005,G01,services,Mobile repairer,North Market,35000,125000,7000,0,2,0,Shop upgrade,0.96,1,1,1,0.95,1
B-006,Borrower 006,G01,retail,Grocery shopkeeper,North Market,42000,150000,8400,1,3,1,Inventory,0.92,1,3,2,0.93,1
B-007,Borrower 007,G01,agriculture,Dairy farmer,North Market,38000,130000,7300,0,2,0,Livestock,0.95,1,2,1,0.96,1
B-008,Borrower 008,G01,services,Beauty worker,North Market,27500,85000,4900,1,1,0,Working capital,0.89,1,4,3,0.90,1
B-009,Borrower 009,G01,retail,Clothing seller,North Market,33000,105000,5900,0,2,1,Inventory,0.93,1,3,2,0.92,1
B-010,Borrower 010,G01,transport,Bicycle courier,North Market,24500,70000,4000,1,1,0,Vehicle repair,0.91,1,2,2,0.90,1
B-011,Borrower 011,G02,retail,Street vendor,East Bazaar,29000,95000,5400,1,2,0,Working capital,0.95,1,2,1,0.96,1
B-012,Borrower 012,G02,services,Tailor,East Bazaar,36000,120000,6700,0,3,1,Equipment purchase,0.92,1,3,2,0.91,1
B-013,Borrower 013,G02,agriculture,Rice farmer,East Bazaar,41000,145000,8100,1,2,0,Seasonal inputs,0.94,1,2,2,0.93,1
B-014,Borrower 014,G02,transport,Auto driver,East Bazaar,31500,105000,6000,1,3,1,Vehicle repair,0.90,1,4,3,0.89,1
B-015,Borrower 015,G02,services,Mobile repairer,East Bazaar,34000,115000,6500,0,2,0,Shop upgrade,0.96,1,1,1,0.97,1
B-016,Borrower 016,G02,retail,Grocery shopkeeper,East Bazaar,45500,160000,9000,1,3,1,Inventory,0.93,1,3,2,0.92,1
B-017,Borrower 017,G02,agriculture,Dairy farmer,East Bazaar,37000,125000,7000,0,2,0,Livestock,0.91,1,2,1,0.93,1
B-018,Borrower 018,G02,services,Beauty worker,East Bazaar,30000,90000,5100,1,2,1,Working capital,0.90,1,4,3,0.91,1
B-019,Borrower 019,G02,retail,Clothing seller,East Bazaar,38500,135000,7600,0,3,0,Inventory,0.94,1,2,2,0.95,1
B-020,Borrower 020,G02,transport,Bicycle courier,East Bazaar,26000,80000,4600,1,1,0,Vehicle repair,0.92,1,3,2,0.91,1
B-021,Borrower 021,G03,retail,Street vendor,South Colony,27000,85000,4900,1,2,1,Working capital,0.90,1,4,3,0.89,1
B-022,Borrower 022,G03,services,Tailor,South Colony,34500,115000,6500,0,2,0,Equipment purchase,0.94,1,2,1,0.95,1
B-023,Borrower 023,G03,agriculture,Vegetable farmer,South Colony,25000,70000,4000,1,1,0,Seasonal inputs,0.92,1,3,2,0.91,1
B-024,Borrower 024,G03,transport,Auto driver,South Colony,30500,100000,5700,1,3,1,Vehicle repair,0.91,1,4,3,0.90,1
B-025,Borrower 025,G03,services,Mobile repairer,South Colony,37500,135000,7600,0,3,0,Shop upgrade,0.95,1,2,1,0.94,1
B-026,Borrower 026,G03,retail,Grocery shopkeeper,South Colony,44000,155000,8700,1,3,1,Inventory,0.93,1,3,2,0.92,1
B-027,Borrower 027,G03,agriculture,Dairy farmer,South Colony,39500,140000,7900,0,2,0,Livestock,0.96,1,1,1,0.95,1
B-028,Borrower 028,G03,services,Beauty worker,South Colony,28500,88000,5000,1,2,0,Working capital,0.89,1,4,3,0.90,1
B-029,Borrower 029,G03,retail,Clothing seller,South Colony,35000,118000,6600,0,2,1,Inventory,0.92,1,3,2,0.91,1
B-030,Borrower 030,G03,transport,Bicycle courier,South Colony,23500,68000,3900,1,1,0,Vehicle repair,0.90,1,2,2,0.91,1
B-031,Borrower 031,G04,retail,Street vendor,West Ward,30500,100000,5700,1,2,0,Working capital,0.93,1,2,1,0.94,1
B-032,Borrower 032,G04,services,Tailor,West Ward,33000,108000,6100,0,2,1,Equipment purchase,0.91,1,3,2,0.90,1
B-033,Borrower 033,G04,agriculture,Rice farmer,West Ward,43000,155000,8700,1,3,0,Seasonal inputs,0.95,1,2,2,0.94,1
B-034,Borrower 034,G04,transport,Auto driver,West Ward,32500,112000,6300,1,2,1,Vehicle repair,0.90,1,4,3,0.89,1
B-035,Borrower 035,G04,services,Mobile repairer,West Ward,36500,128000,7200,0,2,0,Shop upgrade,0.94,1,2,1,0.95,1
B-036,Borrower 036,G04,retail,Grocery shopkeeper,West Ward,47000,175000,9800,1,3,1,Inventory,0.92,1,3,2,0.91,1
B-037,Borrower 037,G04,agriculture,Dairy farmer,West Ward,40000,145000,8100,0,2,0,Livestock,0.96,1,1,1,0.97,1
B-038,Borrower 038,G04,services,Beauty worker,West Ward,29500,92000,5200,1,1,0,Working capital,0.90,1,4,3,0.89,1
B-039,Borrower 039,G04,retail,Clothing seller,West Ward,37500,130000,7300,0,3,1,Inventory,0.93,1,3,2,0.92,1
B-040,Borrower 040,G04,transport,Bicycle courier,West Ward,25500,76000,4300,1,1,0,Vehicle repair,0.91,1,2,2,0.90,1
