borrower_a,borrower_b,source_borrower_id,target_borrower_id,relationship_type,relationship_strength
B-001,B-002,B-001,B-002,joint_loan,0.95
B-001,B-003,B-001,B-003,mutual_guarantee,0.90
B-001,B-004,B-001,B-004,group_liability,0.82
B-001,B-005,B-001,B-005,financial_dependency,0.78
B-001,B-006,B-001,B-006,co_business,0.72
B-001,B-007,B-001,B-007,family,0.75
B-001,B-008,B-001,B-008,same_supplier,0.60
B-001,B-009,B-001,B-009,same_market,0.35
B-001,B-010,B-001,B-010,same_village,0.25
B-002,B-003,B-002,B-003,group_liability,0.80
B-002,B-004,B-002,B-004,mutual_guarantee,0.88
B-003,B-004,B-003,B-004,co_business,0.70
B-004,B-005,B-004,B-005,same_market,0.40
B-005,B-006,B-005,B-006,same_employer,0.55
B-006,B-007,B-006,B-007,same_supplier,0.62
B-007,B-008,B-007,B-008,same_market,0.38
B-008,B-009,B-008,B-009,same_village,0.28
B-009,B-010,B-009,B-010,same_market,0.32
B-010,B-011,B-010,B-011,same_village,0.25
B-011,B-012,B-011,B-012,group_liability,0.78
B-012,B-013,B-012,B-013,co_business,0.68
B-013,B-014,B-013,B-014,same_supplier,0.58
B-014,B-015,B-014,B-015,same_market,0.36
B-015,B-016,B-015,B-016,same_employer,0.52
B-016,B-017,B-016,B-017,same_supplier,0.61
B-017,B-018,B-017,B-018,family,0.73
B-018,B-019,B-018,B-019,same_market,0.34
B-019,B-020,B-019,B-020,same_village,0.27
B-001,B-011,B-001,B-011,financial_dependency,0.76
B-001,B-013,B-001,B-013,same_supplier,0.64
B-002,B-015,B-002,B-015,mutual_guarantee,0.86
B-003,B-017,B-003,B-017,group_liability,0.81
B-005,B-019,B-005,B-019,co_business,0.71
B-020,B-021,B-020,B-021,same_village,0.25
B-021,B-022,B-021,B-022,joint_loan,0.94
B-021,B-023,B-021,B-023,mutual_guarantee,0.89
B-021,B-024,B-021,B-024,group_liability,0.83
B-021,B-025,B-021,B-025,financial_dependency,0.77
B-021,B-026,B-021,B-026,co_business,0.73
B-021,B-027,B-021,B-027,family,0.74
B-021,B-028,B-021,B-028,same_supplier,0.59
B-021,B-029,B-021,B-029,same_market,0.36
B-021,B-030,B-021,B-030,same_village,0.26
B-022,B-023,B-022,B-023,group_liability,0.79
B-022,B-024,B-022,B-024,mutual_guarantee,0.87
B-023,B-024,B-023,B-024,co_business,0.69
B-024,B-025,B-024,B-025,same_market,0.39
B-025,B-026,B-025,B-026,same_employer,0.54
B-026,B-027,B-026,B-027,same_supplier,0.63
B-027,B-028,B-027,B-028,same_market,0.37
B-028,B-029,B-028,B-029,same_village,0.29
B-029,B-030,B-029,B-030,same_market,0.33
B-030,B-031,B-030,B-031,same_village,0.25
B-031,B-032,B-031,B-032,group_liability,0.77
B-032,B-033,B-032,B-033,co_business,0.67
B-033,B-034,B-033,B-034,same_supplier,0.57
B-034,B-035,B-034,B-035,same_market,0.35
B-035,B-036,B-035,B-036,same_employer,0.53
B-036,B-037,B-036,B-037,same_supplier,0.60
B-037,B-038,B-037,B-038,family,0.72
B-038,B-039,B-038,B-039,same_market,0.34
B-039,B-040,B-039,B-040,same_village,0.26
B-021,B-031,B-021,B-031,financial_dependency,0.75
B-021,B-033,B-021,B-033,same_supplier,0.65
B-022,B-035,B-022,B-035,mutual_guarantee,0.85
B-023,B-037,B-023,B-037,group_liability,0.80
B-025,B-039,B-025,B-039,co_business,0.70
B-040,B-041,B-040,B-041,same_village,0.25
B-041,B-042,B-041,B-042,joint_loan,0.93
B-041,B-043,B-041,B-043,mutual_guarantee,0.91
B-041,B-044,B-041,B-044,group_liability,0.84
B-041,B-045,B-041,B-045,financial_dependency,0.79
B-041,B-046,B-041,B-046,co_business,0.71
B-041,B-047,B-041,B-047,family,0.76
B-041,B-048,B-041,B-048,same_supplier,0.61
B-041,B-049,B-041,B-049,same_market,0.37
B-041,B-050,B-041,B-050,same_village,0.27
B-042,B-043,B-042,B-043,group_liability,0.81
B-042,B-044,B-042,B-044,mutual_guarantee,0.89
B-043,B-044,B-043,B-044,co_business,0.72
B-044,B-045,B-044,B-045,same_market,0.41
B-045,B-046,B-045,B-046,same_employer,0.56
B-046,B-047,B-046,B-047,same_supplier,0.64
B-047,B-048,B-047,B-048,same_market,0.39
B-048,B-049,B-048,B-049,same_village,0.30
B-049,B-050,B-049,B-050,same_market,0.35
B-050,B-051,B-050,B-051,same_village,0.25
B-051,B-052,B-051,B-052,group_liability,0.76
B-052,B-053,B-052,B-053,co_business,0.66
B-053,B-054,B-053,B-054,same_supplier,0.59
B-054,B-055,B-054,B-055,same_market,0.38
B-055,B-056,B-055,B-056,same_employer,0.51
B-056,B-057,B-056,B-057,same_supplier,0.62
B-057,B-058,B-057,B-058,family,0.74
B-058,B-059,B-058,B-059,same_market,0.36
B-059,B-060,B-059,B-060,same_village,0.28
B-041,B-051,B-041,B-051,financial_dependency,0.80
B-041,B-053,B-041,B-053,same_supplier,0.67
B-042,B-055,B-042,B-055,mutual_guarantee,0.87
B-043,B-057,B-043,B-057,group_liability,0.82
B-045,B-059,B-045,B-059,co_business,0.73
B-060,B-061,B-060,B-061,same_village,0.25
B-061,B-062,B-061,B-062,joint_loan,0.95
B-061,B-063,B-061,B-063,mutual_guarantee,0.90
B-061,B-064,B-061,B-064,group_liability,0.83
B-061,B-065,B-061,B-065,financial_dependency,0.78
B-061,B-066,B-061,B-066,co_business,0.74
B-061,B-067,B-061,B-067,family,0.77
B-061,B-068,B-061,B-068,same_supplier,0.60
B-061,B-069,B-061,B-069,same_market,0.36
B-061,B-070,B-061,B-070,same_village,0.26
B-062,B-063,B-062,B-063,group_liability,0.80
B-062,B-064,B-062,B-064,mutual_guarantee,0.88
B-063,B-064,B-063,B-064,co_business,0.70
B-064,B-065,B-064,B-065,same_market,0.40
B-065,B-066,B-065,B-066,same_employer,0.55
B-066,B-067,B-066,B-067,same_supplier,0.63
B-067,B-068,B-067,B-068,same_market,0.38
B-068,B-069,B-068,B-069,same_village,0.29
B-069,B-070,B-069,B-070,same_market,0.34
B-070,B-071,B-070,B-071,same_village,0.25
B-071,B-072,B-071,B-072,group_liability,0.78
B-072,B-073,B-072,B-073,co_business,0.69
B-073,B-074,B-073,B-074,same_supplier,0.58
